id,ra,dec,p,p_er,evpa,evpa_er,q,q_er,u,u_er,dist,dist_low,dist_up,Rmag1,date_obs
IT_1620-0140647,294.45193,72.03444,0.01475,0.00292,-28.81687,5.58093,0.00789,0.00284,-0.01245,0.00294,861.453564438528,849.903451702988,873.316098650977,13.91,2019
1623-0141844,294.69743,72.33646,0.01769,0.00471,-24.700000762939453,8.0,0.01151,0.00516,-0.01343,0.00435,484.0,481.0,488.0,13.91,2016
1622-0145313,294.38797,72.20522,0.00875,0.00496,-25.899999618530273,20.100000381469727,0.0054,0.00505,-0.00688,0.00491,369.0,367.0,371.0,13.91,2016
1621-0143810,294.44402,72.11205,0.01273,0.00203,-27.299999237060547,4.599999904632568,0.00737,0.00222,-0.01038,0.00193,1058.0,1042.0,1074.0,13.91,2016
IT_1620-0139808,292.83566,72.04957,0.01174,0.0026,-22.43277,6.34878,0.00832,0.00265,-0.00828,0.00256,864.37880592372,848.428636041032,880.928783402697,13.93,2019
IT_1618-0136815,293.20285,71.88406,0.01815,0.00252,-27.78658,3.94355,0.01026,0.00248,-0.01497,0.00255,843.42374359861,831.922661356524,855.241367812787,13.93,2019
1620-0140941,295.00987,72.07831,0.02228,0.004,-27.299999237060547,5.300000190734863,0.0129,0.00422,-0.01817,0.00388,582.0,577.0,587.0,13.93,2016
IT_1616-0132793,295.54602,71.69605,0.01611,0.00578,-29.92532,10.22419,0.00809,0.00574,-0.01393,0.00579,1686.84873132882,1627.84538342909,1750.19388069721,13.94,2019
IT_1626-0143686,294.99661,72.63783,0.00942,0.00271,-26.51596,8.34412,0.00566,0.00279,-0.00752,0.00266,1351.34427036317,1322.05916225967,1381.93061958109,13.94,2019
IT_1617-0135650,294.26843,71.70084,0.01683,0.00259,-30.55042,4.33928,0.00813,0.00253,-0.01473,0.00261,1745.20695465843,1705.54211934528,1786.72343742645,13.94,2019
IT_1620-0141331,295.88577,72.04938,0.02868,0.00269,-32.92293,2.65534,0.01173,0.00265,-0.02616,0.0027,528.374157757511,524.741698308523,532.056348198054,13.94,2019
IT_1617-0135778,294.52267,71.78471,0.01969,0.00284,-27.4439,4.09252,0.01132,0.00279,-0.0161,0.00286,760.529277927426,749.276302040393,772.11910764033,13.94,2019
IT_1619-0138868,294.16141,71.96516,0.0214,0.00184,-23.77007,2.45171,0.01444,0.0018,-0.01578,0.00187,3298.91377873481,3121.93277339979,3496.42759122833,13.95,2019
1622-0145640,295.08553,72.21893,0.02073,0.00394,-25.899999618530273,5.599999904632568,0.01281,0.00393,-0.0163,0.00394,1106.0,1091.0,1122.0,13.95,2016
IT_1617-0136198,295.43359,71.75062,0.01544,0.00236,-23.81403,4.37457,0.0104,0.00232,-0.0114,0.0024,647.67603028441,640.673178684553,654.83085375327,13.96,2019
IT_1624-0141585,294.883,72.40711,0.01597,0.00154,-19.89817,2.77928,0.01227,0.0015,-0.01022,0.00158,706.760791435901,700.45866642661,713.175280011661,13.96,2019
IT_1624-0142822,297.1217,72.45938,0.00522,0.00182,-33.18323,9.72169,0.00209,0.00176,-0.00478,0.00183,475.190559155716,472.084493413733,478.33702942826,13.96,2019
